"","...1","accuracy","seed","algorithm","dataset","task","SD"
"343",2,99.443413729128,2,"poissonbalanced","wine","numeric",0
"344",3,99.6907854050711,3,"poissonbalanced","wine","numeric",0
"345",4,99.5052566481138,4,"poissonbalanced","wine","numeric",0
"346",5,99.6907854050711,5,"poissonbalanced","wine","numeric",0
"347",6,99.5670995670996,6,"poissonbalanced","wine","numeric",0
"348",7,99.6907854050711,7,"poissonbalanced","wine","numeric",0
"349",8,99.5670995670996,8,"poissonbalanced","wine","numeric",0
"350",9,99.6907854050711,9,"poissonbalanced","wine","numeric",0
"351",0,99.3815708101422,0,"poissonvolume","wine","numeric",0
"352",1,99.7526283240569,1,"poissonvolume","wine","numeric",0
"353",2,99.5670995670996,2,"poissonvolume","wine","numeric",0
"354",3,99.6907854050711,3,"poissonvolume","wine","numeric",0
"355",4,99.5670995670996,4,"poissonvolume","wine","numeric",0
"356",5,99.5670995670996,5,"poissonvolume","wine","numeric",0
"357",6,99.7526283240569,6,"poissonvolume","wine","numeric",0
"358",7,99.8763141620285,7,"poissonvolume","wine","numeric",0
"359",8,99.6289424860854,8,"poissonvolume","wine","numeric",0
"360",9,99.7526283240569,9,"poissonvolume","wine","numeric",0
"361",0,99.8144712430427,0,"poissonmbo","wine","numeric",0
"362",1,99.6907854050711,1,"poissonmbo","wine","numeric",0
"363",2,99.6289424860854,2,"poissonmbo","wine","numeric",0
"364",3,99.8144712430427,3,"poissonmbo","wine","numeric",0
"365",4,99.8144712430427,4,"poissonmbo","wine","numeric",0
"366",5,99.6289424860854,5,"poissonmbo","wine","numeric",0
"367",6,99.8144712430427,6,"poissonmbo","wine","numeric",0
"368",7,99.6907854050711,7,"poissonmbo","wine","numeric",0
"369",8,99.5670995670996,8,"poissonmbo","wine","numeric",0
"370",9,99.6289424860854,9,"poissonmbo","wine","numeric",0
"371",0,99.6907854050711,0,"sparselabelpropagation","wine","numeric",0
"372",1,99.6907854050711,1,"sparselabelpropagation","wine","numeric",0
"373",2,99.8144712430427,2,"sparselabelpropagation","wine","numeric",0
"374",3,99.8763141620285,3,"sparselabelpropagation","wine","numeric",0
"375",4,99.7526283240569,4,"sparselabelpropagation","wine","numeric",0
"376",5,99.7526283240569,5,"sparselabelpropagation","wine","numeric",0
"377",6,99.6907854050711,6,"sparselabelpropagation","wine","numeric",0
"378",7,99.6907854050711,7,"sparselabelpropagation","wine","numeric",0
"379",8,99.5670995670996,8,"sparselabelpropagation","wine","numeric",0
"380",9,99.6907854050711,9,"sparselabelpropagation","wine","numeric",0
"381",0,99.5670995670996,0,"centeredkernel","wine","numeric",0
"382",1,99.6289424860854,1,"centeredkernel","wine","numeric",0
"383",2,99.6907854050711,2,"centeredkernel","wine","numeric",0
"384",3,99.6907854050711,3,"centeredkernel","wine","numeric",0
"385",4,99.7526283240569,4,"centeredkernel","wine","numeric",0
"386",5,99.8144712430427,5,"centeredkernel","wine","numeric",0
"387",6,99.8144712430427,6,"centeredkernel","wine","numeric",0
"388",7,99.7526283240569,7,"centeredkernel","wine","numeric",0
"389",8,99.6289424860854,8,"centeredkernel","wine","numeric",0
"390",9,99.8763141620285,9,"centeredkernel","wine","numeric",0
"391",0,73.8317757009346,0,"laplace","musk","image",0
"392",1,82.0093457943925,1,"laplace","musk","image",0
"393",2,83.411214953271,2,"laplace","musk","image",0
"394",3,76.1682242990654,3,"laplace","musk","image",0
"395",4,80.8411214953271,4,"laplace","musk","image",0
"396",5,79.2056074766355,5,"laplace","musk","image",0
"397",6,80.3738317757009,6,"laplace","musk","image",0
"398",7,80.3738317757009,7,"laplace","musk","image",0
"399",8,79.6728971962617,8,"laplace","musk","image",0
"400",9,84.1121495327103,9,"laplace","musk","image",0
"401",0,72.4299065420561,0,"randomwalk","musk","image",0
"402",1,76.8691588785047,1,"randomwalk","musk","image",0
"403",2,79.6728971962617,2,"randomwalk","musk","image",0
"404",3,73.3644859813084,3,"randomwalk","musk","image",0
"405",4,85.5140186915888,4,"randomwalk","musk","image",0
"406",5,69.6261682242991,5,"randomwalk","musk","image",0
"407",6,73.1308411214953,6,"randomwalk","musk","image",0
"408",7,79.4392523364486,7,"randomwalk","musk","image",0
"409",8,74.0654205607477,8,"randomwalk","musk","image",0
"410",9,80.8411214953271,9,"randomwalk","musk","image",0
"411",0,78.7383177570093,0,"wnll","musk","image",0
"412",1,80.8411214953271,1,"wnll","musk","image",0
"413",2,81.5420560747663,2,"wnll","musk","image",0
"414",3,82.0093457943925,3,"wnll","musk","image",0
"415",4,80.3738317757009,4,"wnll","musk","image",0
"416",5,85.981308411215,5,"wnll","musk","image",0
"417",6,83.1775700934579,6,"wnll","musk","image",0
